Wavelength(A),Level(A)
1537.6436377624618,0.00018747754053115713
1537.6929306917996,0.00018294645780919837
1537.7422267816498,0.0006134895219797208
1537.791526032316,0.0005993672065182611
1537.8408284441025,0.000701100947969287
1537.8901340173134,0.0006848582738188656
1537.9394427522523,0.0006738603021273758
1537.9887546492241,0.0006599775337122261
1538.0380697085322,0.0006441217455438749
1538.0873879304816,0.00063144121252451
1538.136709315376,0.0006172791471361675
1538.1860338635197,0.0006049431965604435
1538.2353615752172,0.0005932098980211329
1538.2846924507728,0.0005827911644553594
1538.3340264904912,0.0005252489672405973
1538.383363694676,0.000515963554091836
1538.4327040636324,0.0002803162318568836
1538.4820475976649,0.0002754715666220279
1538.531394297078,7.527984513781479e-05
1538.5807441621762,7.406028919089735e-05
1538.630097193264,3.128641691124525e-05
1538.679453390646,3.0837211442786955e-05
1538.7288127546274,3.152593803637254e-05
1538.7781752855126,3.108725572707414e-05
1538.8275409836065,3.0518470632046967e-05
1538.8769098492141,3.011648659265583e-05
1538.9262818826398,2.859967889986636e-05
1538.975657084189,2.8260105127803832e-05
1539.0250354541663,2.732457975694245e-05
1539.0744169928769,2.6997722274494112e-05
1539.1238017006258,3.419297349259521e-05
1539.1731895777177,3.379103214799737e-05
1539.2225806244585,0.00010490543797456249
1539.2719748411525,0.00010396296680572095
1539.3213722281057,0.00039111867249821676
1539.3707727856224,0.0003865339952571908
1539.4201765140087,0.0004268538270602054
1539.4695834135696,0.0004239687349062825
1539.5189934846103,0.0004227434383585312
1539.5684067274362,0.0004187616183796845
1539.6178231423528,0.0004127905397796369
1539.6672427296655,0.00040980337478700995
1539.71666548968,0.00040464924720643206
1539.7660914227017,0.00040151331401869434
1539.8155205290361,0.0004010454027365743
1539.8649528089886,0.00039836625368332195
1539.9143882628657,0.0003656671978153624
1539.963826890972,0.0003632541620394147
1540.0132686936142,0.00019693732171961127
1540.0627136710975,0.00019589339020625272
1540.1121618237278,4.335861775906831e-05
1540.161613151811,4.315671587582092e-05
